2021-09-10 10:58:46,957 INFO    MainThread:1030078 [wandb_setup.py:_flush():69] setting env: {}
2021-09-10 10:58:46,958 INFO    MainThread:1030078 [wandb_setup.py:_flush():69] setting login settings: {}
2021-09-10 10:58:46,958 INFO    MainThread:1030078 [wandb_init.py:_log_setup():342] Logging user logs to /home/joaoguilhermearujo/rainbow_extend/revisiting_rainbow/wandb/run-20210910_105846-2c99jvzt/logs/debug.log
2021-09-10 10:58:46,958 INFO    MainThread:1030078 [wandb_init.py:_log_setup():343] Logging internal logs to /home/joaoguilhermearujo/rainbow_extend/revisiting_rainbow/wandb/run-20210910_105846-2c99jvzt/logs/debug-internal.log
2021-09-10 10:58:46,958 INFO    MainThread:1030078 [wandb_init.py:init():375] calling init triggers
2021-09-10 10:58:46,958 INFO    MainThread:1030078 [wandb_init.py:init():382] wandb.init called with sweep_config: {}
config: {'random seed': 4, 'agent': 'dqn', 'environment': 'mountaincar', 'inits': 'zeros', 'varying': 'inits', 'online': False}
2021-09-10 10:58:46,958 INFO    MainThread:1030078 [wandb_init.py:init():424] starting backend
2021-09-10 10:58:46,958 INFO    MainThread:1030078 [backend.py:_multiprocessing_setup():72] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-09-10 10:58:46,963 INFO    MainThread:1030078 [backend.py:ensure_launched():135] starting backend process...
2021-09-10 10:58:46,976 INFO    MainThread:1030078 [backend.py:ensure_launched():140] started backend process with pid: 1056931
2021-09-10 10:58:46,979 INFO    MainThread:1030078 [wandb_init.py:init():429] backend started and connected
2021-09-10 10:58:46,983 INFO    MainThread:1030078 [wandb_init.py:init():477] updated telemetry
2021-09-10 10:58:46,983 INFO    MainThread:1030078 [wandb_init.py:init():500] communicating current version
2021-09-10 10:58:47,953 INFO    MainThread:1030078 [wandb_init.py:init():505] got version response 
2021-09-10 10:58:47,953 INFO    MainThread:1030078 [wandb_init.py:init():513] communicating run to backend with 30 second timeout
2021-09-10 10:58:48,221 INFO    MainThread:1030078 [wandb_init.py:init():540] starting run threads in backend
2021-09-10 10:58:52,802 INFO    MainThread:1030078 [wandb_run.py:_console_start():1601] atexit reg
2021-09-10 10:58:52,802 INFO    MainThread:1030078 [wandb_run.py:_redirect():1475] redirect: SettingsConsole.REDIRECT
2021-09-10 10:58:52,802 INFO    MainThread:1030078 [wandb_run.py:_redirect():1480] Redirecting console.
2021-09-10 10:58:52,804 INFO    MainThread:1030078 [wandb_run.py:_redirect():1536] Redirects installed.
2021-09-10 10:58:52,804 INFO    MainThread:1030078 [wandb_init.py:init():565] run started, returning control to user process
2021-09-10 10:59:01,559 INFO    MainThread:1030078 [wandb_run.py:finish():1271] finishing run ext-rain/extending-rainbow/2c99jvzt
